F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,5,1,1
0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,9,3,1
0,0,0,0,0,0,0,8,1,1
0,0,0,0,0,0,1,8,1,1
0,0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,1,6,0,1
0,0,0,0,0,0,1,6,0,1
0,0,0,0,0,0,0,6,1,1
0,0,0,0,0,0,0,2,1,1
1,0,0,0,0,0,1,1,2,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,2,1,1
1,1,0,0,0,0,0,2,0,1
1,1,0,0,0,0,1,9,2,1
1,1,0,0,0,0,0,12,1,1
1,1,0,0,0,0,0,9,1,1
0,0,0,0,0,0,1,8,1,1
1,1,0,0,0,0,0,2,2,1
0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,4,2,1
1,1,0,0,0,0,0,3,2,1
0,0,0,0,0,0,0,5,1,1
1,0,1,0,0,1,0,1,2,1
0,0,0,0,0,0,0,0,1,1
2,1,0,0,0,0,0,4,1,1
1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1
1,1,1,0,0,1,0,7,1,1
0,0,0,0,0,0,0,7,0,1
3,1,1,0,0,0,1,8,3,1
0,0,0,0,0,0,0,4,2,1
0,0,0,0,0,0,0,10,4,1
1,1,0,0,0,0,0,7,1,1
2,1,0,0,0,0,0,7,2,1
1,1,0,0,0,0,0,4,2,1
0,0,0,0,0,0,0,1,0,1
2,1,0,0,0,0,1,4,1,1
1,1,0,0,0,0,0,4,2,1
1,0,1,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,2,1,1
0,0,0,0,0,0,0,3,3,1
0,0,0,0,0,0,0,3,3,1
0,0,0,0,0,0,0,8,1,1
1,1,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,3,2,1
1,1,0,0,0,0,1,9,1,1
1,0,1,0,0,0,0,2,2,1
0,0,0,0,0,0,1,0,2,1
2,1,1,0,0,0,0,4,1,1
0,0,0,0,0,0,0,12,1,1
1,1,0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,8,1,1
0,0,0,0,0,0,0,3,1,1
3,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,1,1,1
1,0,1,0,0,1,1,5,2,1
1,0,1,0,0,1,0,1,2,1
0,0,0,0,0,0,1,13,2,1
1,0,1,0,0,1,1,1,0,1
1,1,0,0,0,0,0,16,2,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,5,2,1
0,0,0,0,0,0,0,11,2,1
1,0,0,0,0,0,1,1,1,1
3,1,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,7,1,1
1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,3,2,1
0,0,0,0,0,0,0,3,2,1
0,0,0,0,0,0,0,4,2,1
1,1,0,0,0,0,0,4,2,1
1,1,0,0,0,0,0,3,1,1
1,0,0,0,0,0,1,5,1,1
1,1,0,0,0,0,0,5,1,1
1,0,1,0,0,1,1,8,2,1
1,1,0,0,0,0,0,6,1,1
0,0,0,0,0,0,0,3,0,1
1,1,1,0,0,0,0,4,1,1
3,1,1,0,0,0,1,8,3,1
0,0,0,0,0,0,0,6,2,1
1,0,0,0,0,0,1,4,2,1
1,1,0,0,0,0,1,8,0,1
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,2,1,1
1,1,0,0,0,0,1,5,0,1
1,1,0,0,0,0,0,4,1,1
0,0,0,0,0,0,1,5,1,1
0,0,0,0,0,0,0,4,1,1
0,0,0,0,0,0,1,3,1,1
0,0,0,0,0,0,0,5,1,1
0,0,0,0,0,0,1,2,2,1
2,1,0,0,0,0,0,5,1,1
0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3,1,1
1,1,0,0,0,0,0,6,1,1
0,0,0,0,0,0,0,6,1,1
1,1,0,0,0,0,1,4,1,1
0,0,0,0,0,0,0,4,1,1
1,1,0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,1,0,1
2,0,1,0,0,1,0,0,3,1
0,0,0,0,0,0,0,4,2,1
0,0,0,0,0,0,1,4,0,1
0,0,0,0,0,0,1,2,1,1
1,1,0,0,0,0,0,4,1,1
2,1,1,0,0,1,0,5,2,1
1,0,1,0,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,3,1,1
0,0,0,0,0,0,0,4,1,1
0,0,0,0,0,0,1,7,0,1
1,1,0,0,0,0,0,3,0,1
1,0,1,0,0,0,0,3,0,1
1,1,0,0,0,0,0,2,1,1
1,1,0,0,0,0,0,2,1,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1
2,1,0,0,0,0,1,4,1,1
1,1,0,0,0,0,1,8,2,1
0,0,0,0,0,0,0,3,2,1
0,0,0,0,0,0,1,0,2,1
0,0,0,0,0,0,0,2,1,1
0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,5,0,1
2,1,0,0,0,0,0,9,2,1
1,1,0,0,0,0,0,4,1,1
3,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,6,1,1
2,1,1,0,0,0,0,4,3,1
1,1,0,0,0,0,0,5,2,1
0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,26,1,0
1,1,1,0,0,0,0,21,1,0
1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1,0
1,0,0,0,0,0,0,7,0,0
1,1,0,0,0,0,0,9,0,0
1,1,1,0,0,0,0,6,0,0
0,0,0,0,0,0,0,7,0,0
1,0,1,0,0,1,0,0,3,0
